公司名称,披露日期,上市地和板块,披露类型,查看PDF资料
盐城海普润科技股份有限公司,2020-06-19,上交所,预先披露,招股说明书
浙江出版传媒股份有限公司,2020-06-19,上交所,预先披露,招股说明书
杭州福莱蒽特股份有限公司,2020-06-12,上交所,预先披露,招股说明书
浙江珊溪水利水电开发股份有限公司,2020-06-12,上交所,预先披露,招股说明书
梦天家居集团股份有限公司,2020-06-12,上交所,预先披露,招股说明书
威海百合生物技术股份有限公司,2020-06-12,上交所,预先披露,招股说明书
山东中农联合生物科技股份有限公司,2020-06-12,上交所,预先披露,招股说明书
陕西红星美羚乳业股份有限公司,2020-06-08,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
浙江明泰控股发展股份有限公司,2020-06-05,上交所,预先披露,招股说明书
四川郎酒股份有限公司,2020-06-05,深交所中小板,预先披露,招股说明书
东瑞食品集团股份有限公司,2020-06-05,深交所中小板,预先披露,招股说明书
浙江永和制冷股份有限公司,2020-06-05,上交所,预先披露,招股说明书
成都大宏立机器股份有限公司,2020-06-03,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深圳市振邦智能科技股份有限公司,2020-05-25,深交所中小板,预先披露更新,招股说明书
安徽鑫铂铝业股份有限公司,2020-05-22,深交所中小板,预先披露,招股说明书
天津市依依卫生用品股份有限公司,2020-05-22,深交所中小板,预先披露,招股说明书
国邦医药集团股份有限公司,2020-05-22,上交所,预先披露,招股说明书
咸亨国际科技股份有限公司,2020-05-22,上交所,预先披露,招股说明书
贵州国台酒业股份有限公司,2020-05-22,上交所,预先披露,招股说明书
合肥立方制药股份有限公司,2020-05-21,深交所中小板,预先披露更新,招股说明书
江苏长龄液压股份有限公司,2020-05-21,上交所,预先披露更新,招股说明书
无锡市振华汽车部件股份有限公司,2020-05-15,上交所,预先披露更新,招股说明书
中国国际金融股份有限公司,2020-05-15,上交所,预先披露,招股说明书
河北中瓷电子科技股份有限公司,2020-05-15,深交所中小板,预先披露更新,招股说明书
广州九恒条码股份有限公司,2020-05-15,上交所,预先披露更新,招股说明书
天阳宏业科技股份有限公司,2020-05-15,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
广东顺控发展股份有限公司,2020-05-11,深交所中小板,预先披露更新,招股说明书
税友软件集团股份有限公司,2020-05-11,上交所,预先披露更新,招股说明书
东方航空物流股份有限公司,2020-05-11,上交所,预先披露更新,招股说明书
合兴汽车电子股份有限公司,2020-05-11,上交所,预先披露更新,招股说明书
浙江中胤时尚股份有限公司,2020-05-08,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
浙江泰坦股份有限公司,2020-05-08,深交所中小板,预先披露更新,招股说明书
中国航油集团石油股份有限公司,2020-05-08,上交所,预先披露,招股说明书
楚天龙股份有限公司,2020-05-08,深交所中小板,预先披露,招股说明书
江苏同力日升机械股份有限公司,2020-05-08,上交所,预先披露更新,招股说明书
上海灿星文化传媒股份有限公司,2020-05-08,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
中伟新材料股份有限公司,2020-04-30,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
上海肇民新材料科技股份有限公司,2020-04-30,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
九江善水科技股份有限公司,2020-04-30,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
烟台石川密封科技股份有限公司,2020-04-30,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
河南凯旺电子科技股份有限公司,2020-04-30,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
南京商络电子股份有限公司,2020-04-30,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
立高食品股份有限公司,2020-04-30,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
上海永茂泰汽车科技股份有限公司,2020-04-30,上交所,预先披露更新,招股说明书
江苏必得科技股份有限公司,2020-04-30,上交所,预先披露更新,招股说明书
广东金源照明科技股份有限公司,2020-04-30,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
嘉亨家化股份有限公司,2020-04-30,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
湖北共同药业股份有限公司,2020-04-30,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
广东天禾农资股份有限公司,2020-04-26,深交所中小板,预先披露更新,招股说明书
杭州格林达电子材料股份有限公司,2020-04-26,上交所,预先披露更新,招股说明书
东鹏饮料（集团）股份有限公司,2020-04-24,上交所,预先披露,招股说明书
山东玉马遮阳科技股份有限公司,2020-04-24,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
安徽英力电子科技股份有限公司,2020-04-24,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
欢乐家食品集团股份有限公司,2020-04-24,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
芜湖富春染织股份有限公司,2020-04-24,上交所,预先披露,招股说明书
深圳市博硕科技股份有限公司,2020-04-24,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
杭州市园林绿化股份有限公司,2020-04-21,上交所,预先披露更新,招股说明书
上海行动教育科技股份有限公司,2020-04-21,上交所,预先披露更新,招股说明书
上海中谷物流股份有限公司,2020-04-20,上交所,预先披露更新,招股说明书
河北华通线缆集团股份有限公司,2020-04-20,上交所,预先披露更新,招股说明书
双乐颜料股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
广州华立科技股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
中红普林医疗用品股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
东莞怡合达自动化股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
北京挖金客信息科技股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
宁夏晓鸣农牧股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
江苏协昌电子科技股份有限公司,2020-04-17,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
无锡江南奕帆电力传动科技股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
深圳市崧盛电子股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
浙江春晖智能控制股份有限公司,2020-04-17,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
北京建工环境修复股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
宁波德业科技股份有限公司,2020-04-17,上交所,预先披露更新,招股说明书
浙江松原汽车安全系统股份有限公司,2020-04-17,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
广东佳奇科技教育股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
广东惠云钛业股份有限公司,2020-04-17,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
易点天下网络科技股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
万代服装股份有限公司,2020-04-17,深交所中小板,预先披露更新,招股说明书
江苏本川智能电路科技股份有限公司,2020-04-17,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
云南神农农业产业集团股份有限公司,2020-04-10,上交所,预先披露,招股说明书
宁夏沃福百瑞枸杞产业股份有限公司,2020-04-10,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
浙江西大门新材料股份有限公司,2020-04-09,上交所,预先披露更新,招股说明书
宁波市天普橡胶科技股份有限公司,2020-04-09,上交所,预先披露更新,招股说明书
思进智能成形装备股份有限公司,2020-04-09,深交所中小板,预先披露更新,招股说明书
青岛征和工业股份有限公司,2020-04-09,深交所中小板,预先披露更新,招股说明书
湖北均瑶大健康饮品股份有限公司,2020-04-09,上交所,预先披露更新,招股说明书
浙江大洋生物科技集团股份有限公司,2020-04-07,深交所中小板,预先披露更新,招股说明书
四川合纵药易购医药股份有限公司,2020-04-07,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
成都立航科技股份有限公司,2020-04-07,上交所,预先披露更新,招股说明书
常州澳弘电子股份有限公司,2020-04-07,上交所,预先披露更新,招股说明书
广东蒙泰高新纤维股份有限公司,2020-04-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
中国三峡新能源（集团）股份有限公司,2020-04-03,上交所,预先披露更新,招股说明书
福建恒而达新材料股份有限公司,2020-04-03,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
杭州热电集团股份有限公司,2020-04-03,上交所,预先披露,招股说明书
广东顺德农村商业银行股份有限公司,2020-04-03,深交所中小板,预先披露,招股说明书
成都武侯高新技术产业发展股份有限公司,2020-04-03,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
安徽华塑股份有限公司,2020-04-03,上交所,预先披露更新,招股说明书
广东天元实业集团股份有限公司,2020-04-03,深交所中小板,预先披露,招股说明书
金富科技股份有限公司,2020-04-03,深交所中小板,预先披露,招股说明书
江苏安凯特科技股份有限公司,2020-04-03,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
深圳市光祥科技股份有限公司,2020-04-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
江苏中法水务股份有限公司,2020-03-27,上交所,预先披露,招股说明书
宸展光电（厦门）股份有限公司,2020-03-27,深交所中小板,预先披露更新,招股说明书
南方电网综合能源股份有限公司,2020-03-27,深交所中小板,预先披露,招股说明书
福建万辰生物科技股份有限公司,2020-03-27,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
新亚强硅化学股份有限公司,2020-03-27,上交所,预先披露更新,招股说明书
杭州山科智能科技股份有限公司,2020-03-27,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
杭州联德精密机械股份有限公司,2020-03-27,上交所,预先披露更新,招股说明书
仲景食品股份有限公司,2020-03-27,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
苏州仕净环保科技股份有限公司,2020-03-27,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
江西晨光新材料股份有限公司,2020-03-27,上交所,预先披露更新,招股说明书
众望布艺股份有限公司,2020-03-20,上交所,预先披露更新,招股说明书
天津友发钢管集团股份有限公司,2020-03-20,上交所,预先披露更新,招股说明书
杭州豪悦护理用品股份有限公司,2020-03-20,上交所,预先披露更新,招股说明书
江苏日久光电股份有限公司,2020-03-20,深交所中小板,预先披露更新,招股说明书
浙江新中港清洁能源股份有限公司,2020-03-20,上交所,预先披露更新,招股说明书
常州澳弘电子股份有限公司,2020-03-20,上交所,预先披露更新,招股说明书
广州若羽臣科技股份有限公司,2020-03-13,深交所中小板,预先披露更新,招股说明书
新疆洪通燃气股份有限公司,2020-03-13,上交所,预先披露更新,招股说明书
西上海汽车服务股份有限公司,2020-03-13,上交所,预先披露更新,招股说明书
明新旭腾新材料股份有限公司,2020-03-13,上交所,预先披露更新,招股说明书
熊猫乳品集团股份有限公司,2020-03-06,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
湖南华联瓷业股份有限公司,2020-03-06,深交所中小板,预先披露,招股说明书
浙江维康药业股份有限公司,2020-03-06,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
广东格林精密部件股份有限公司,2020-03-06,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
驰田汽车股份有限公司,2020-03-06,深交所中小板,预先披露,招股说明书
上海德必文化创意产业发展（集团）股份有限公司,2020-02-07,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
新乡市瑞丰新材料股份有限公司,2020-02-07,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
湖州银行股份有限公司,2020-02-07,上交所,预先披露,招股说明书
新亚电子股份有限公司,2020-01-20,上交所,预先披露更新,招股说明书
浙江长华汽车零部件股份有限公司,2020-01-16,上交所,预先披露更新,招股说明书
成都彩虹电器（集团）股份有限公司,2020-01-16,深交所中小板,预先披露更新,招股说明书
长春吉大正元信息技术股份有限公司,2020-01-16,深交所中小板,预先披露更新,招股说明书
法狮龙家居建材股份有限公司,2020-01-16,上交所,预先披露更新,招股说明书
北京竞业达数码科技股份有限公司,2020-01-14,深交所中小板,预先披露更新,招股说明书
浙江华生科技股份有限公司,2020-01-14,上交所,预先披露更新,招股说明书
江苏博迁新材料股份有限公司,2020-01-14,上交所,预先披露更新,招股说明书
江苏协和电子股份有限公司,2020-01-14,上交所,预先披露更新,招股说明书
海南葫芦娃药业集团股份有限公司,2020-01-14,上交所,预先披露更新,招股说明书
深圳威迈斯新能源股份有限公司,2020-01-14,深交所中小板,预先披露更新,招股说明书
无锡新洁能股份有限公司,2020-01-10,上交所,预先披露更新,招股说明书
浙江东亚药业股份有限公司,2020-01-10,上交所,预先披露更新,招股说明书
深圳欧陆通电子股份有限公司,2020-01-10,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
浙江万胜智能科技股份有限公司,2020-01-10,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
广东南海农村商业银行股份有限公司,2020-01-10,深交所中小板,预先披露更新,招股说明书
济南圣泉集团股份有限公司,2020-01-03,上交所,预先披露,招股说明书
浙江严牌过滤技术股份有限公司,2020-01-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
火星人厨具股份有限公司,2020-01-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
江苏华绿生物科技股份有限公司,2020-01-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
北京新亚天影电影科技股份有限公司,2020-01-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
上海太和水环境科技发展股份有限公司,2020-01-03,上交所,预先披露更新,招股说明书
上海霍普建筑设计事务所股份有限公司,2020-01-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
江苏益客食品集团股份有限公司,2020-01-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
苏州市味知香食品股份有限公司,2020-01-03,上交所,预先披露,招股说明书
稳健医疗用品股份有限公司,2020-01-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
深水海纳水务集团股份有限公司,2020-01-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
浙江日发纺织机械股份有限公司,2020-01-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
浙江省新能源投资集团股份有限公司,2020-01-03,上交所,预先披露,招股说明书
恒宇信通航空装备（北京）股份有限公司,2020-01-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
重庆四方新材股份有限公司,2020-01-03,上交所,预先披露更新,招股说明书
通用电梯股份有限公司,2020-01-03,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
惠州迪芬尼声学科技股份有限公司,2020-01-03,深交所中小板,预先披露,招股说明书
神通科技集团股份有限公司,2020-01-03,上交所,预先披露更新,招股说明书
深圳掌众智能科技股份有限公司,2020-01-03,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
国安达股份有限公司,2020-01-03,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
惠州市浩明科技股份有限公司,2019-12-27,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
深圳市泛海三江电子股份有限公司,2019-12-27,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
江西九丰能源股份有限公司,2019-12-27,上交所,预先披露,招股说明书
太湖金张科技股份有限公司,2019-12-27,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
青岛冠中生态股份有限公司,2019-12-27,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
浙江大自然户外用品股份有限公司,2019-12-27,上交所,预先披露,招股说明书
深圳朗特智能控制股份有限公司,2019-12-27,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
广东三和管桩股份有限公司,2019-12-27,深交所中小板,预先披露,招股说明书
宁波世茂能源股份有限公司,2019-12-27,上交所,预先披露,招股说明书
宁波方正汽车模具股份有限公司,2019-12-27,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
北京铜牛信息科技股份有限公司,2019-12-27,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
浙江李子园食品股份有限公司,2019-12-26,上交所,预先披露,招股说明书
浙江迎丰科技股份有限公司,2019-12-26,上交所,预先披露,招股说明书
河南百川畅银环保能源股份有限公司,2019-12-26,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
陕西北元化工集团股份有限公司,2019-12-26,上交所,预先披露,招股说明书
王力安防科技股份有限公司,2019-12-26,上交所,预先披露,招股说明书
长春英利汽车工业股份有限公司,2019-12-26,上交所,预先披露,招股说明书
浙江海象新材料股份有限公司,2019-12-20,深交所中小板,预先披露更新,招股说明书
山西壶化集团股份有限公司,2019-12-20,深交所中小板,预先披露更新,招股说明书
广州地铁设计研究院股份有限公司,2019-12-20,深交所中小板,预先披露更新,招股说明书
上海健麾信息技术股份有限公司,2019-12-20,上交所,预先披露更新,招股说明书
深圳瑞捷工程咨询股份有限公司,2019-12-20,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
安徽金春无纺布股份有限公司,2019-12-20,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
英诺激光科技股份有限公司,2019-12-20,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
苏州林华医疗器械股份有限公司,2019-12-20,上交所,预先披露,招股说明书
衢州五洲特种纸业股份有限公司,2019-12-20,上交所,预先披露更新,招股说明书
浙江鸿禧能源股份有限公司,2019-12-20,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
郑州速达工业机械服务股份有限公司,2019-12-20,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
浙江帅丰电器股份有限公司,2019-12-20,上交所,预先披露更新,招股说明书
广州农村商业银行股份有限公司,2019-12-20,深交所中小板,预先披露更新,招股说明书
浙江天正电气股份有限公司,2019-12-20,上交所,预先披露更新,招股说明书
益海嘉里金龙鱼粮油食品股份有限公司,2019-12-20,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
江苏嵘泰工业股份有限公司,2019-12-20,上交所,预先披露更新,招股说明书
深圳中天精装股份有限公司,2019-12-20,深交所中小板,预先披露更新,招股说明书
安徽华骐环保科技股份有限公司,2019-12-20,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
财达证券股份有限公司,2019-12-20,上交所,预先披露,招股说明书
中金辐照股份有限公司,2019-12-20,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
青岛德固特节能装备股份有限公司,2019-12-20,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
爱美客技术发展股份有限公司,2019-12-20,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
浙江一鸣食品股份有限公司,2019-12-20,上交所,预先披露更新,招股说明书
宁波大叶园林设备股份有限公司,2019-12-20,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
华文食品股份有限公司,2019-12-13,深交所中小板,预先披露更新,招股说明书
明冠新材料股份有限公司,2019-12-13,深交所中小板,预先披露更新,招股说明书
北京直真科技股份有限公司,2019-12-13,深交所中小板,预先披露更新,招股说明书
山西华翔集团股份有限公司,2019-12-13,上交所,预先披露更新,招股说明书
杭州华旺新材料科技股份有限公司,2019-12-13,上交所,预先披露更新,招股说明书
伟时电子股份有限公司,2019-12-13,上交所,预先披露更新,招股说明书
江苏传智播客教育科技股份有限公司,2019-12-12,深交所中小板,预先披露更新,招股说明书
浙江润阳新材料科技股份有限公司,2019-12-12,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
浙江拱东医疗器械股份有限公司,2019-12-12,上交所,预先披露更新,招股说明书
齐鲁银行股份有限公司,2019-12-12,上交所,预先披露更新,招股说明书
中饮巴比食品股份有限公司,2019-12-12,上交所,预先披露更新,招股说明书
北京点众科技股份有限公司,2019-12-12,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
舒华体育股份有限公司,2019-12-12,上交所,预先披露更新,招股说明书
北京中岩大地科技股份有限公司,2019-12-12,深交所中小板,预先披露更新,招股说明书
联泓新材料科技股份有限公司,2019-12-12,深交所中小板,预先披露更新,招股说明书
美瑞新材料股份有限公司,2019-12-12,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
森林包装集团股份有限公司,2019-12-12,上交所,预先披露更新,招股说明书
谱尼测试集团股份有限公司,2019-12-12,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
发行人关于公司,2019-12-12,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
浙江华达新型材料股份有限公司,2019-12-12,上交所,预先披露更新,招股说明书
江苏恒辉安防股份有限公司,2019-12-12,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
山东百龙创园生物科技股份有限公司,2019-12-12,上交所,预先披露,招股说明书
无锡派克新材料科技股份有限公司,2019-12-12,上交所,预先披露更新,招股说明书
深圳市法本信息技术股份有限公司,2019-12-12,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
安徽芯瑞达科技股份有限公司,2019-12-11,深交所中小板,预先披露更新,招股说明书
安徽华业香料股份有限公司,2019-12-10,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
宁波震裕科技股份有限公司,2019-12-06,深交所创业板,预先披露,招股说明书  、  股本演变情况说明
厦门建霖健康家居股份有限公司,2019-12-06,上交所,预先披露更新,招股说明书
深圳市兆威机电股份有限公司,2019-12-06,深交所中小板,预先披露更新,招股说明书
盛德鑫泰新材料股份有限公司,2019-12-06,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
广东东箭汽车科技股份有限公司,2019-12-06,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
周六福珠宝股份有限公司,2019-12-06,深交所中小板,预先披露更新,招股说明书
北京声迅电子股份有限公司,2019-11-29,深交所中小板,预先披露更新,招股说明书
迈赫机器人自动化股份有限公司,2019-11-29,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
武汉回盛生物科技股份有限公司,2019-11-29,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
优彩环保资源科技股份有限公司,2019-11-29,深交所中小板,预先披露更新,招股说明书
广东世宇科技股份有限公司,2019-11-29,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
晶科电力科技股份有限公司,2019-11-27,上交所,预先披露更新,招股说明书
浙江锦盛新材料股份有限公司,2019-11-22,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
南京大学环境规划设计研究院股份公司,2019-11-22,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
陕西美能清洁能源集团股份有限公司,2019-11-22,深交所中小板,预先披露,招股说明书
奥锐特药业股份有限公司,2019-11-22,上交所,预先披露更新,招股说明书
德才装饰股份有限公司,2019-11-22,上交所,预先披露,招股说明书
发行人关于公司,2019-11-22,深交所创业板,预先披露更新,招股说明书  、  股本演变情况说明
合肥立方制药股份有限公司,2019-11-22,深交所中小板,预先披露,招股说明书
重庆顺博铝合金股份有限公司,2019-11-22,深交所中小板,预先披露更新,招股说明书
龙岩高岭土股份有限公司,2019-11-22,上交所,预先披露,招股说明书
